y central min max min_sc max_sc min_mass max_mass min_pdf max_pdf
-7.0000 3.2010e+05 1.0447e+05 5.9060e+05 2.2950e+05 4.8460e+05 2.3060e+05 4.4580e+05 1.4610e+05 4.9420e+05
-6.5000 1.2810e+06 6.9643e+05 2.0890e+06 9.3050e+05 1.8860e+06 9.8910e+05 1.6720e+06 9.1540e+05 1.6470e+06
-6.0000 3.4600e+06 2.1011e+06 5.3670e+06 2.4320e+06 5.0460e+06 2.7650e+06 4.3630e+06 2.9060e+06 4.0130e+06
-5.5000 7.3150e+06 4.5951e+06 1.1096e+07 5.0530e+06 1.0620e+07 5.9840e+06 9.0080e+06 6.6010e+06 8.0290e+06
-5.0000 1.2910e+07 8.1653e+06 1.9334e+07 8.7960e+06 1.8660e+07 1.0750e+07 1.5610e+07 1.1950e+07 1.3870e+07
-4.5000 1.9850e+07 1.2493e+07 2.9476e+07 1.3340e+07 2.8560e+07 1.6750e+07 2.3680e+07 1.8390e+07 2.1310e+07
-4.0000 2.7510e+07 1.7118e+07 4.0605e+07 1.8210e+07 3.9420e+07 2.3440e+07 3.2480e+07 2.5290e+07 2.9730e+07
-3.5000 3.5240e+07 2.1646e+07 5.1789e+07 2.2990e+07 5.0320e+07 3.0260e+07 4.1280e+07 3.2090e+07 3.8400e+07
-3.0000 4.2520e+07 2.5757e+07 6.2313e+07 2.7350e+07 6.0560e+07 3.6720e+07 4.9520e+07 3.8370e+07 4.6680e+07
-2.5000 4.9000e+07 2.9296e+07 7.1653e+07 3.1120e+07 6.9640e+07 4.2500e+07 5.6800e+07 4.3870e+07 5.4130e+07
-2.0000 5.4450e+07 3.2160e+07 7.9510e+07 3.4190e+07 7.7260e+07 4.7370e+07 6.2910e+07 4.8430e+07 6.0460e+07
-1.5000 5.8750e+07 3.4367e+07 8.5727e+07 3.6560e+07 8.3280e+07 5.1230e+07 6.7720e+07 5.2000e+07 6.5500e+07
-1.0000 6.1850e+07 3.5911e+07 9.0203e+07 3.8230e+07 8.7610e+07 5.4010e+07 7.1180e+07 5.4540e+07 6.9150e+07
-0.5000 6.3710e+07 3.6829e+07 9.2908e+07 3.9220e+07 9.0220e+07 5.5690e+07 7.3260e+07 5.6060e+07 7.1360e+07
0.0000 6.4330e+07 3.7132e+07 9.3797e+07 3.9550e+07 9.1080e+07 5.6250e+07 7.3950e+07 5.6560e+07 7.2090e+07
0.5000 6.3710e+07 3.6829e+07 9.2908e+07 3.9220e+07 9.0220e+07 5.5690e+07 7.3260e+07 5.6060e+07 7.1360e+07
1.0000 6.1850e+07 3.5911e+07 9.0203e+07 3.8230e+07 8.7610e+07 5.4010e+07 7.1180e+07 5.4540e+07 6.9150e+07
1.5000 5.8750e+07 3.4367e+07 8.5727e+07 3.6560e+07 8.3280e+07 5.1230e+07 6.7720e+07 5.2000e+07 6.5500e+07
2.0000 5.4450e+07 3.2160e+07 7.9510e+07 3.4190e+07 7.7260e+07 4.7370e+07 6.2910e+07 4.8430e+07 6.0460e+07
2.5000 4.9000e+07 2.9296e+07 7.1653e+07 3.1120e+07 6.9640e+07 4.2500e+07 5.6800e+07 4.3870e+07 5.4130e+07
3.0000 4.2520e+07 2.5757e+07 6.2313e+07 2.7350e+07 6.0560e+07 3.6720e+07 4.9520e+07 3.8370e+07 4.6680e+07
3.5000 3.5240e+07 2.1646e+07 5.1789e+07 2.2990e+07 5.0320e+07 3.0260e+07 4.1280e+07 3.2090e+07 3.8400e+07
4.0000 2.7510e+07 1.7118e+07 4.0605e+07 1.8210e+07 3.9420e+07 2.3440e+07 3.2480e+07 2.5290e+07 2.9730e+07
4.5000 1.9850e+07 1.2493e+07 2.9476e+07 1.3340e+07 2.8560e+07 1.6750e+07 2.3680e+07 1.8390e+07 2.1310e+07
5.0000 1.2910e+07 8.1653e+06 1.9334e+07 8.7960e+06 1.8660e+07 1.0750e+07 1.5610e+07 1.1950e+07 1.3870e+07
5.5000 7.3150e+06 4.5951e+06 1.1096e+07 5.0530e+06 1.0620e+07 5.9840e+06 9.0080e+06 6.6010e+06 8.0290e+06
6.0000 3.4600e+06 2.1011e+06 5.3670e+06 2.4320e+06 5.0460e+06 2.7650e+06 4.3630e+06 2.9060e+06 4.0130e+06
6.5000 1.2810e+06 6.9643e+05 2.0890e+06 9.3050e+05 1.8860e+06 9.8910e+05 1.6720e+06 9.1540e+05 1.6470e+06
7.0000 3.2010e+05 1.0447e+05 5.9060e+05 2.2950e+05 4.8460e+05 2.3060e+05 4.4580e+05 1.4610e+05 4.9420e+05
