y central min max min_sc max_sc min_mass max_mass min_pdf max_pdf
-7.0000 2.0840e+05 3.4639e+04 4.2577e+05 1.4800e+05 3.2010e+05 1.3430e+05 3.2000e+05 6.3300e+04 3.5780e+05
-6.5000 1.2000e+06 4.1928e+05 2.1551e+06 8.7230e+05 1.7760e+06 9.0220e+05 1.6070e+06 5.5700e+05 1.8440e+06
-6.0000 3.4640e+06 1.5650e+06 5.8543e+06 2.5370e+06 5.0690e+06 2.7320e+06 4.4280e+06 1.9770e+06 4.9500e+06
-5.5000 7.4420e+06 3.9197e+06 1.2054e+07 5.4710e+06 1.0830e+07 6.0390e+06 9.2440e+06 4.8820e+06 1.0000e+07
-5.0000 1.2980e+07 7.4688e+06 2.0332e+07 9.3530e+06 1.8800e+07 1.0770e+07 1.5770e+07 9.4680e+06 1.6500e+07
-4.5000 1.9440e+07 1.1718e+07 2.9628e+07 1.3600e+07 2.8000e+07 1.6380e+07 2.3230e+07 1.5420e+07 2.3460e+07
-4.0000 2.6190e+07 1.6138e+07 3.9132e+07 1.7810e+07 3.7560e+07 2.2330e+07 3.0920e+07 2.2200e+07 3.0170e+07
-3.5000 3.2720e+07 2.0271e+07 4.8235e+07 2.1680e+07 4.6780e+07 2.8140e+07 3.8280e+07 2.9240e+07 3.6200e+07
-3.0000 3.8710e+07 2.3837e+07 5.6552e+07 2.5050e+07 5.5190e+07 3.3510e+07 4.4970e+07 3.5960e+07 4.1460e+07
-2.5000 4.3970e+07 2.6749e+07 6.3879e+07 2.7870e+07 6.2540e+07 3.8260e+07 5.0810e+07 4.1790e+07 4.6150e+07
-2.0000 4.8460e+07 2.9114e+07 7.0162e+07 3.0220e+07 6.8800e+07 4.2320e+07 5.5770e+07 4.6490e+07 5.0420e+07
-1.5000 5.2070e+07 3.0993e+07 7.5251e+07 3.2110e+07 7.3850e+07 4.5580e+07 5.9770e+07 5.0140e+07 5.3990e+07
-1.0000 5.4680e+07 3.2340e+07 7.8940e+07 3.3470e+07 7.7500e+07 4.7940e+07 6.2680e+07 5.2730e+07 5.6630e+07
-0.5000 5.6260e+07 3.3137e+07 8.1175e+07 3.4280e+07 7.9710e+07 4.9360e+07 6.4440e+07 5.4280e+07 5.8240e+07
0.0000 5.6780e+07 3.3403e+07 8.1900e+07 3.4550e+07 8.0430e+07 4.9830e+07 6.5010e+07 5.4780e+07 5.8770e+07
0.5000 5.6260e+07 3.3137e+07 8.1175e+07 3.4280e+07 7.9710e+07 4.9360e+07 6.4440e+07 5.4280e+07 5.8240e+07
1.0000 5.4680e+07 3.2340e+07 7.8940e+07 3.3470e+07 7.7500e+07 4.7940e+07 6.2680e+07 5.2730e+07 5.6630e+07
1.5000 5.2070e+07 3.0993e+07 7.5251e+07 3.2110e+07 7.3850e+07 4.5580e+07 5.9770e+07 5.0140e+07 5.3990e+07
2.0000 4.8460e+07 2.9114e+07 7.0162e+07 3.0220e+07 6.8800e+07 4.2320e+07 5.5770e+07 4.6490e+07 5.0420e+07
2.5000 4.3970e+07 2.6749e+07 6.3879e+07 2.7870e+07 6.2540e+07 3.8260e+07 5.0810e+07 4.1790e+07 4.6150e+07
3.0000 3.8710e+07 2.3837e+07 5.6552e+07 2.5050e+07 5.5190e+07 3.3510e+07 4.4970e+07 3.5960e+07 4.1460e+07
3.5000 3.2720e+07 2.0271e+07 4.8235e+07 2.1680e+07 4.6780e+07 2.8140e+07 3.8280e+07 2.9240e+07 3.6200e+07
4.0000 2.6190e+07 1.6138e+07 3.9132e+07 1.7810e+07 3.7560e+07 2.2330e+07 3.0920e+07 2.2200e+07 3.0170e+07
4.5000 1.9440e+07 1.1718e+07 2.9628e+07 1.3600e+07 2.8000e+07 1.6380e+07 2.3230e+07 1.5420e+07 2.3460e+07
5.0000 1.2980e+07 7.4688e+06 2.0332e+07 9.3530e+06 1.8800e+07 1.0770e+07 1.5770e+07 9.4680e+06 1.6500e+07
5.5000 7.4420e+06 3.9197e+06 1.2054e+07 5.4710e+06 1.0830e+07 6.0390e+06 9.2440e+06 4.8820e+06 1.0000e+07
6.0000 3.4640e+06 1.5650e+06 5.8543e+06 2.5370e+06 5.0690e+06 2.7320e+06 4.4280e+06 1.9770e+06 4.9500e+06
6.5000 1.2000e+06 4.1928e+05 2.1551e+06 8.7230e+05 1.7760e+06 9.0220e+05 1.6070e+06 5.5700e+05 1.8440e+06
7.0000 2.0840e+05 3.4639e+04 4.2577e+05 1.4800e+05 3.2010e+05 1.3430e+05 3.2000e+05 6.3300e+04 3.5780e+05
