y central min max min_sc max_sc min_mass max_mass min_pdf max_pdf
-4.0000 5.2380e+08 1.6786e+08 1.2370e+09 1.9150e+08 1.2220e+09 4.1940e+08 6.4940e+08 4.5050e+08 5.9710e+08
-3.5000 5.9020e+08 1.7939e+08 1.3729e+09 2.0550e+08 1.3560e+09 4.7770e+08 7.2430e+08 5.0010e+08 6.8040e+08
-3.0000 6.4530e+08 1.8619e+08 1.4827e+09 2.1470e+08 1.4640e+09 5.2660e+08 7.8570e+08 5.3910e+08 7.5160e+08
-2.5000 6.8950e+08 1.8949e+08 1.5695e+09 2.2020e+08 1.5490e+09 5.6620e+08 8.3440e+08 5.6880e+08 8.1030e+08
-2.0000 7.2390e+08 1.9052e+08 1.6360e+09 2.2310e+08 1.6140e+09 5.9740e+08 8.7200e+08 5.9090e+08 8.5700e+08
-1.5000 7.4950e+08 1.9027e+08 1.6853e+09 2.2440e+08 1.6620e+09 6.2070e+08 8.9970e+08 6.0660e+08 8.9240e+08
-1.0000 7.6730e+08 1.8963e+08 1.7192e+09 2.2490e+08 1.6950e+09 6.3690e+08 9.1890e+08 6.1730e+08 9.1720e+08
-0.5000 7.7790e+08 1.8917e+08 1.7388e+09 2.2510e+08 1.7140e+09 6.4660e+08 9.3030e+08 6.2370e+08 9.3200e+08
0.0000 7.8160e+08 1.8891e+08 1.7460e+09 2.2510e+08 1.7210e+09 6.4990e+08 9.3450e+08 6.2590e+08 9.3720e+08
0.5000 7.7790e+08 1.8917e+08 1.7388e+09 2.2510e+08 1.7140e+09 6.4660e+08 9.3030e+08 6.2370e+08 9.3200e+08
1.0000 7.6730e+08 1.8963e+08 1.7192e+09 2.2490e+08 1.6950e+09 6.3690e+08 9.1890e+08 6.1730e+08 9.1720e+08
1.5000 7.4950e+08 1.9027e+08 1.6853e+09 2.2440e+08 1.6620e+09 6.2070e+08 8.9970e+08 6.0660e+08 8.9240e+08
2.0000 7.2390e+08 1.9052e+08 1.6360e+09 2.2310e+08 1.6140e+09 5.9740e+08 8.7200e+08 5.9090e+08 8.5700e+08
2.5000 6.8950e+08 1.8949e+08 1.5695e+09 2.2020e+08 1.5490e+09 5.6620e+08 8.3440e+08 5.6880e+08 8.1030e+08
3.0000 6.4530e+08 1.8619e+08 1.4827e+09 2.1470e+08 1.4640e+09 5.2660e+08 7.8570e+08 5.3910e+08 7.5160e+08
3.5000 5.9020e+08 1.7939e+08 1.3729e+09 2.0550e+08 1.3560e+09 4.7770e+08 7.2430e+08 5.0010e+08 6.8040e+08
4.0000 5.2380e+08 1.6786e+08 1.2370e+09 1.9150e+08 1.2220e+09 4.1940e+08 6.4940e+08 4.5050e+08 5.9710e+08
