y central min max min_sc max_sc min_mass max_mass min_pdf max_pdf
-4.0000 6.1890e+08 2.9798e+07 1.6611e+09 2.2520e+08 1.4760e+09 4.6550e+08 8.4280e+08 2.0840e+08 1.1680e+09
-3.5000 6.4540e+08 5.8277e+07 1.6562e+09 2.1490e+08 1.5150e+09 4.9620e+08 8.5520e+08 2.7510e+08 1.1160e+09
-3.0000 6.5840e+08 8.4663e+07 1.6234e+09 2.0170e+08 1.5240e+09 5.1570e+08 8.5280e+08 3.4180e+08 1.0380e+09
-2.5000 6.6120e+08 1.1046e+08 1.5755e+09 1.8600e+08 1.5120e+09 5.2610e+08 8.4030e+08 4.1780e+08 9.4410e+08
-2.0000 6.5720e+08 1.2228e+08 1.5232e+09 1.6920e+08 1.4860e+09 5.3020e+08 8.2120e+08 4.7870e+08 8.4730e+08
-1.5000 6.5000e+08 1.2637e+08 1.4741e+09 1.5330e+08 1.4520e+09 5.3130e+08 7.9950e+08 5.3430e+08 7.6630e+08
-1.0000 6.4600e+08 1.3293e+08 1.4417e+09 1.5140e+08 1.4260e+09 5.3430e+08 7.8240e+08 5.6770e+08 7.2420e+08
-0.5000 6.4880e+08 1.3548e+08 1.4378e+09 1.5210e+08 1.4240e+09 5.3970e+08 7.7830e+08 5.7890e+08 7.1860e+08
0.0000 6.5090e+08 1.3642e+08 1.4396e+09 1.5280e+08 1.4260e+09 5.4210e+08 7.7940e+08 5.8200e+08 7.1980e+08
0.5000 6.4880e+08 1.3548e+08 1.4378e+09 1.5210e+08 1.4240e+09 5.3970e+08 7.7830e+08 5.7890e+08 7.1860e+08
1.0000 6.4600e+08 1.3293e+08 1.4417e+09 1.5140e+08 1.4260e+09 5.3430e+08 7.8240e+08 5.6770e+08 7.2420e+08
1.5000 6.5000e+08 1.2637e+08 1.4741e+09 1.5330e+08 1.4520e+09 5.3130e+08 7.9950e+08 5.3430e+08 7.6630e+08
2.0000 6.5720e+08 1.2228e+08 1.5232e+09 1.6920e+08 1.4860e+09 5.3020e+08 8.2120e+08 4.7870e+08 8.4730e+08
2.5000 6.6120e+08 1.1046e+08 1.5755e+09 1.8600e+08 1.5120e+09 5.2610e+08 8.4030e+08 4.1780e+08 9.4410e+08
3.0000 6.5840e+08 8.4663e+07 1.6234e+09 2.0170e+08 1.5240e+09 5.1570e+08 8.5280e+08 3.4180e+08 1.0380e+09
3.5000 6.4540e+08 5.8277e+07 1.6562e+09 2.1490e+08 1.5150e+09 4.9620e+08 8.5520e+08 2.7510e+08 1.1160e+09
4.0000 6.1890e+08 2.9798e+07 1.6611e+09 2.2520e+08 1.4760e+09 4.6550e+08 8.4280e+08 2.0840e+08 1.1680e+09
