q2lo q2hi PDF0 uncertainty
15 20 1047587.229559681 36.12840583209031
20 25 456085.9512640965 36.15626882918664
25 30 231193.6148070554 17.71918928240178
30 35 130244.1597782186 7.356599043137162
35 40 79463.79673815944 2.288395992391355
40 45 51755.86303803806 0.4256006148771032
45 50 35753.52319476986 0.7261539127881534
50 55 26212.25654647934 0.9046762868128335
55 60 20569.6916283596 0.9199272154330144
60 64 14210.37714186101 0.830749336887009
64 68 13490.22727158781 0.7363970797914353
68 72 14087.39569620954 0.8000798946215565
72 76 16687.21520996957 0.966543315363518
76 81 31431.82418884792 1.83344764700634
81 86 76734.52870715506 4.381094977912839
86 91 727334.2651389628 39.99978556015876
91 96 889803.189801783 78.06518183336556
96 101 75884.30042680116 4.665486134022727
101 106 25399.53548912463 1.19244839079959
