q2lo q2hi PDF0  uncertainty
15 20 672736.824425335 27.25061297335253
20 25 284859.6672507292 19.99685103428314
25 30 141236.3202150571 9.48625080059383
30 35 78083.49586293241 3.865061885490319
35 40 46855.69577150414 1.226683765354294
40 45 30061.99963481804 0.1310672129045789
45 50 20478.74457263133 0.2793982120129397
50 55 14813.90584802402 0.3781455109300004
55 60 11471.55536073274 0.3721832425587541
60 64 7828.515977945332 0.01892764662289064
64 68 7348.847310799629 0.2883861552297526
68 72 7586.225105639273 0.3096767780404207
72 76 8883.418994628628 0.367457038125217
76 81 16525.14036142279 0.6794635912266052
81 86 39852.05699270164 1.579920883712619
86 91 373712.4658395901 21.5956245205787
91 96 455229.4944748352 16.751845190438
96 101 38524.52119547316 1.823110238301864
101 106 12813.29730919853 0.4070508470165078
